"MISSION","SETNO","STATION","DATETIME_START","DATETIME_FINISH","LATITUDE_START","LONGITUDE_START","LATITUDE_FINISH","LONGITUDE_FINISH","DEPTH_START","DEPTH_FINISH","SPEED","DEPTH_TRWL_AVE","TEMP_TRWL_AVE"
"BOF2016001",6,"D",15-AUG-16,15-AUG-16,44.8965,-66.8853,44.907,-66.883,60,73,2.3,62.58,11.41
"BOF2016001",7,"D",15-AUG-16,15-AUG-16,45.0005,-66.7893,45.0011,-66.774,52,52,1.9,53.74,11.02
"BOF2016001",8,"A",16-AUG-16,16-AUG-16,45.0893,-67.0996,45.9421,-67.1028,28,28,2,28.02,13.61
"BOF2016001",9,"C",16-AUG-16,16-AUG-16,45.0169,-66.9978,45.0068,-67.0044,34,41,2.3,36.58,13.34
"BOF2016001",10,"D",16-AUG-16,16-AUG-16,44.9844,-66.8672,44.9932,-66.856,72,62,2.1,69.97,11.21
"BOF2016001",11,"B",16-AUG-16,16-AUG-16,45.0981,-66.9485,45.1021,-66.9575,36,34,2.1,35.28,13.53
"BOF2016001",12,"C",29-AUG-16,29-AUG-16,45.0257,-66.982,45.0156,-66.9874,33,36,2,34.77,13.86
"BOF2016001",13,"C",29-AUG-16,29-AUG-16,44.9951,-67.017,45.0038,-67.0085,55,46,2.1,53.82,13.83
"BOF2016001",14,"B",29-AUG-16,29-AUG-16,45.0798,-66.9406,45.0878,-66.9418,67,51,2,62.84,13.72
"BOF2016001",15,"A",30-AUG-16,30-AUG-16,45.0909,-67.0982,45.0959,-67.102,28,26,2,25.76,14.09
"BOF2016001",16,"D",30-AUG-16,30-AUG-16,44.8955,-66.8924,44.9049,-66.8882,44,40,2,44.97,11.96
"BOF2016001",17,"D",30-AUG-16,30-AUG-16,44.9934,-66.783,44.9917,-66.7751,60,61,2,61.36,11.33
"BOF2016001",18,"D",31-AUG-16,31-AUG-16,45.0227,-66.7808,45.0212,-66.7761,41,42,2,41.41,12.97
"BOF2016001",19,"D",31-AUG-16,31-AUG-16,45.0054,-66.7383,44.9984,-66.7584,56,58,2,57.17,11.29
"BOF2016001",20,"D",31-AUG-16,31-AUG-16,44.9271,-66.867,44.9374,-66.8708,84,82,2,84.98,11.77
"BOF2016001",21,"C",01-NOV-16,01-NOV-16,45.0178,-67.0238,45.0178,-67.0242,25,28,1.4,20.12,10.8
"BOF2016001",22,"C",01-NOV-16,01-NOV-16,45.0206,-67.0134,45.0268,-66.9978,28,27,2,27.85,11.22
"BOF2016001",23,"B",01-NOV-16,01-NOV-16,45.0713,-66.9372,45.0802,-66.9469,79,68,2,82.16,11.41
"BOF2016001",24,"A",02-NOV-16,02-NOV-16,45.1076,-67.1082,45.1013,-67.1053,27,27,2,26.4,11.08
"BOF2016001",25,"D",02-NOV-16,02-NOV-16,44.9383,-66.8925,44.9261,-66.8904,71,69,1.9,79.97,11.53
"BOF2016001",26,"B",02-NOV-16,02-NOV-16,45.1227,-66.9375,45.1263,-66.9456,18,18,2,17.53,11.19
